Patrol Designators,Detective Designators,CSOs and Animal Control,Other/Command Staff,Not SPD,CAHOOTS
3D1   ,4S40  ,5C1   ,CMD02 ,3E+34,3J81
2S12  ,4S41  ,5C2   ,CMD03 ,2W71  ,
1S12  ,4S42  ,5C4   ,CMD04 ,2Y19  ,
1S13  ,4S43  ,5C5   ,CMD05 ,3V10  ,
1S22  ,4S44  ,,CMD6  ,3X33  ,
1S18  ,4S46  ,,2S50  ,CNTR  ,
1S21  ,4S47  ,,2S60  ,UO327 ,
1S11  ,4S48  ,,,Z23   ,
2S18  ,4S49  ,,,Z24   ,
2S21  ,,,,Z25   ,
2M2   ,,,,Z26   ,
2S30  ,,,,Z30   ,
2S11  ,,,,Z4    ,
1S23  ,,,,Z67   ,
2S22  ,,,,Z9    ,
1S20  ,,,,Anthing with an 'E' (i.e. 2E14),
2M3   ,,,,,
1S17  ,,,,,
2S13  ,,,,,
2S23  ,,,,,
1S10  ,,,,,
1S30  ,,,,,
K93   ,,,,,
2S19  ,,,,,
1S19  ,,,,,
2M20  ,,,,,
2S10  ,,,,,
2S17  ,,,,,
2S20  ,,,,,
3D2   ,,,,,
3D3   ,,,,,
K94   ,,,,,
K95   ,,,,,
K96   ,,,,,
K97   ,,,,,
3S51  ,,,,,
3S52  ,,,,,
3S53  ,,,,,
3S54  ,,,,,
3S55  ,,,,,
3S56  ,,,,,
3S57  ,,,,,
3S59  ,,,,,
SP343 ,,,,,
SP372 ,,,,,
3S18,,,,,
3S19,,,,,
3S20,,,,,
3S11,,,,,
3S12,,,,,
3S13,,,,,
3S23,,,,,
3S21,,,,,
3S22,,,,,
3S10,,,,,
3S30,,,,,